name,profile,country
アート・テイラー,"アート・テイラー（Art Taylor）ことアーサー・テイラー・ジュニア（Arthur S. Taylor, Jr., 1929年4月6日 – 1995年2月6日）は、アメリカ合衆国のハード・バップ・ジャズのドラマーおよびパーカッション奏者。ニューヨーク生まれ。ハード・バップやジャズの完成に貢献した。",1
アート・ブレイキー,アート・ブレイキー（Art Blakey、1919年10月11日 - 1990年10月16日）は、アメリカ合衆国のジャズドラマー。「ナイアガラ・ロール」（Niagara Roll）と呼ばれる特徴的なドラミング奏法で知られ、彼の功績は現在のジャズ界に多大な影響を与えた。,1
アイアート・モレイラ,アイアート・モレイラ（Airto Moreira、1941年8月5日 - ）は、ブラジルのミュージシャン。パーカッショニスト、ドラマー。サンタカタリーナ州生まれ。妻は歌手のフローラ・プリム。,1
アイ高野,アイ 高野（アイ たかの、1951年1月12日 - 2006年4月1日）は、日本の歌手、ドラマー。ソロではあい たかの名義で活動していた時期あり。本名、高野 元成（たかの もとなり）。日本のロック界の重鎮であった。愛称は、本名のもとなりからもっちん。55歳没。,0
会田一輝,,0
青木和義,,0
青木達之,青木 達之（あおき たつゆき、1966年8月15日 - 1999年5月2日）は、日本のミュージシャン、DJ。東京スカパラダイスオーケストラの元ドラマー。,0
青山純,青山 純（あおやま じゅん、1957年3月10日 - 2013年12月3日）は、東京都出身のドラマー。,0
赤間慎,,0
あき,,0
AKI,,0
秋田鋭次郎,,0
AKIHIKO,,0
アキヒロ,,0
秋山隆彦,,0
秋山幸広,,0
AKIRA,,0
Act.,,0
朝倉幸夫,,0
浅沼俊一,,0
浅野良治,"浅野良治（あさの りょうじ、1954年1月20日 - ）は、日本の音楽家。ロックバンド『ゴダイゴ』の元ドラマー。
ゴダイゴのギタリスト浅野孝已の弟。",0
麻生祥一郎,"麻生 祥一郎（あそう しょういちろう、1970年3月20日 - ）は、日本のドラマー、パーカッショニスト。
福岡県生まれ。血液型はA型。身長179cm。1990年から2000年まで「HUMMING BIRD」のドラマーとして活動。解散以降、多くのミュージシャンのライブ、レコーディングのサポート、音楽専門学校の非常勤講師などを務める。",0
アヒト・イナザワ,アヒト・イナザワ（1973年6月6日 - ）は、日本のミュージシャン。福岡県糟屋郡須恵町出身。向井秀徳、田渕ひさ子、中尾憲太郎と結成したナンバーガール（ドラム担当）でデビューし、上京。ナンバーガール解散後は、向井とZAZEN BOYS（ドラム担当）を結成したが、2004年12月30日のライブ（COUNTDOWN JAPAN04/05）を最後に脱退。その後VOLA & THE ORIENTAL MACHINEを結成し、ボーカル・ギターを担当。それに平行して再結成されたBEYONDSにドラムとしても加入、2011年8月5日脱退。,0
阿部薫,阿部 薫（あべ かおる、1959年1月11日 - ）は、日本のドラマー、スタジオ・ミュージシャン、写真家。東京都港区新橋出身。男性。,0
阿部耕作,,0
安倍元彰,,0
新井康徳,,0
荒川浩士,,0
荒川康伸,,0
荒木康弘,,0
あらきゆうこ,"あらき ゆうこ（1974年2月21日 - ）は、日本のミュージシャン、ドラマー。鳥取県出身。
ソロ・プロジェクトmi-guや、様々なバンドのサポートドラマーとして活動している。",0
ARASE,,0
アラン・ホワイト,"アラン・ホワイト（Alan White、1949年6月14日 - 2022年5月26日）は、イングランド出身のロック・ミュージシャン、ドラマー。
プログレッシブ・ロック・バンド「イエス」のメンバーとして知られる。また、イエスに在籍する前に「ビートルズ」のメンバーのソロ・アルバムや様々なセッションに参加した実績を持つ。
ローリング・ストーン誌選出「歴史上最も偉大な100人のドラマー」第35位。2017年、イエス名義で『ロックの殿堂』入り。",1
有田賢,,0
アル・ジャクソン,,1
アール・パーマー,"アール・パーマー (Earl Cyril Palmer, 1924年10月25日 – 2008年9月19日)は米国のドラマーであり、ロックンロールを生み出したプレイヤーの一人と言われる。2000年にロックの殿堂入りを果たしている。
パーマーは、歴史上最も活躍したスタジオ・ミュージシャンの一人と言われており、リトル・リチャードやファッツ・ドミノのほぼ全てのヒット曲を始め、ライチャス・ブラザーズの”You've Lost That Lovin' Feelin'”や無数のテレビや映画のサウンドトラックなど、数千に及ぶレコーディングでプレイしている。ある訃報記事は「彼のプレイした曲のリストは、過去60年間のアメリカのポピュラー音楽の紳士録のようである」と評している。",1
アル・フォスター,アル・フォスター（Al Foster、1943年1月18日 - ）は、アメリカ合衆国・バージニア州リッチモンド生まれのジャズ・ドラマー。,1
アレックス・アクーニャ,アレックス・アクーニャ（Alex Acuña）、本名アレハンドロ・ネシオスープ・アクーニャ（Alejandro Neciosup Acuña、1944年12月12日 - ）は、ペルー出身のドラマーでパーカッショニスト。,1
