ID,Name,Discogs ID
78,大橋彩香,4995570
172,ジーン・クルーパ,2577984
13,アル・ジャクソン,
11,あらきゆうこ,487798
9,アヒト・イナザワ,1388113
6,青山純,547646
2,アート・ブレイキー,29977
10,阿部薫,478284
5,青木達之,569996
15,アル・フォスター,271001
16,アレックス・アクーニャ,414957
4,アイ高野,1069898
3,アイアート・モレイラ,
12,アラン・ホワイト,
236,高橋幸宏,6022022
283,トミー・スナイダー,623145
319,バディ・リッチ,57620
32,伊地知潔,
28,五十嵐公太,1761035
18,アンダース・ヨハンソン,
20,アンディ・ニューマーク,200762
21,アンドリュー・マカロック,
24,アントン・フィグ,
22,アンディ・ウォード,
29,池畑潤二,634828
31,石川晶,6784836
33,伊藤薫,671055
30,Isao Cato,
441,吉田佳史,3975444
459,ロジャー・テイラー,495058
42,上田雅利,4014824
49,ヴィニー・アピス,
51,ウィリー・ボボ,
45,上原裕,529928
39,IWASAKI,1826046
43,植田芳暁,1314072
36,猪俣猛,6670940
37,伊吹文裕,6205795
38,今村舞,2452187
52,ヴェサ・ランタ,
48,ヴィットーリオ・シクバルディ,
44,上原彰兼,
40,岩田ガンタ康彦,2849864
453,リンゴ・スター,259352
62,江口信夫,371062
68,江藤良人,8899576
69,エリック・カー,
66,エド・ウドハス,
59,英竜介,
54,宇津本直紀,
56,浦山一悟,
57,ウリ・カッシュ,
58,エイドリアン・アーランドソン ,
61,江川ゲンタ,1090461
63,江島啓一,1587308
65,衛藤浩一,3931851
67,エド・グラハム,
200,庄村聡泰,7566313
76,大坂昌彦,1440598
84,オマー・ハキム,253649
99,かどしゅんたろう,3019233
72,エルヴィン・ジョーンズ,135885
81,小田原豊 ,1126792
73,大口広司,927526
75,大倉忠義,9426868
80,小倉誠司,
77,大島賢治,1857075
79,大間ジロー,2613768
74,大久保敦夫,3594758
100,金山典世,
83,"小畑""PUMP""隆彦",
242,tax,567937
95,梶原徹也,434416
96,KAZUSHI,1165785
98,加藤茶,8824837
91,カイ・ハフト,
93,梶谷雅弘,
97,加藤健治,
89,カールトン・バレット,
88,カール・パーマー,
90,戒,1964372
92,柿健一 ,3327208
94,かしぶち哲郎,386062
82,岡本郭男,2530069
105,亀井亨,679132
107,川口千里,3939945
109,川原洋二,7281025
115,菊地英二,2360577
116,菊地哲,1759718
110,川村恵里加,
112,キース・ヌードセン,
111,河村カースケ智康,413832
106,カレン・カーペンター,
113,キース・ムーン,
114,菊住守代司,3285652
102,Kami,407929
108,川西幸一,651619
124,粂井宏昭,7614942
130,車谷啓介,7974398
132,グレゴリー・ハッチンソン,345718
123,熊谷徳明,2882488
125,クライド・スタブルフィールド,
126,倉澤圭介,
127,クリス・スレイド,
133,グレッグ・エリコ,
135,黒瀬蛙一,
129,クリストファー・パーカー,
117,木田高介,11108174
119,木村万作,768945
121,工藤義弘,1416840
122,クハラカズユキ,1505112
137,ケニー・ジョーンズ,
138,ケヴィン・ゴドレイ,
148,小柳昌法,1497085
140,小泉拓,
143,コージー・パウエル,
139,小泉貴裕,813206
146,小橋琢人,
149,斉藤光子,2071301
152,坂井俊彦,8093960
142,KOUICHI,1019636
207,神宮司治,9936361
153,﨑山龍男,450046
144,KO-HEY,1035107
145,國分建臣,
147,小林雅之,3518535
169,サンディ・ウェスト,696281
170,椎野恭一,523116
171,シーラ・E,79433
158,ササキ・ユタカ,
161,佐藤栄太郎,
208,神保彰,5935188
163,佐藤シンイチロウ,321730
166,沢木優,
168,サンコンJr.,
154,sakura,385495
155,桜井誠,503044
157,佐々木隆,11425706
164,佐藤貴志,3145661
165,佐野康夫,296798
173,ジェット・ブラック,
174,シェーン・ガラース,
175,ジェフ・ハミルトン,
176,ジェフ・バラード,
183,島村英二,574400
182,SHIHO,1608387
180,ジェレミー・ステーシー,
184,ジミー・コブ,252311
186,ジム・ケルトナー,
177,ジェフ・ポーカロ,
178,ジェフ・ワッツ,253394
179,シェリー・マン,265354
185,ジミー原田,2111978
181,柴田一郎,877092
192,ジャック・ディジョネット,238626
190,シャグラット,
196,ジョージ川口,1803197
198,ジョー・ジョーンズ,2605611
201,ジョニー吉長,3627114
199,リアド 偉武,
206,白根賢一,359684
203,ジョン・ハイズマン,
205,ジョン・マッケンタイア,
202,ジョン・スタークス,
197,ジョージ・コリアス,
193,shuji,131923
191,ジャッキー吉川,7781560
213,Shinya,1056387
215,鈴木さえ子,799226
216,鈴木英哉 ,468742
219,スティーヴ・ガッド,258118
220,スティーヴ・ジャンセン,104319
221,スティーヴ・ジョーダン,
209,ジンジャー・フィッシュ,
217,スチュワート・コープランド,
